Date (CET),Day Ahead Price,IDA1 Price (EPEX),IDA2 Price (EPEX),IDA3 Price (EPEX),IDA1 Volume (EPEX),IDA2 Volume (EPEX),IDA3 Volume (EPEX)
,EUR/MWh,EUR/MWh,EUR/MWh,EUR/MWh,MWh/qh,MWh/qh,MWh/qh
[01/01/2024 00:00],0.10,19.92,,,253.8,,
[01/01/2024 00:15],0.10,6.90,,,152.8,,
[01/01/2024 00:30],0.10,3.21,,,196.1,,
[01/01/2024 00:45],0.10,0.44,,,274.2,,
[01/01/2024 01:00],0.01,6.24,,,206.6,,
[01/01/2024 01:15],0.01,0.59,,,114.3,,
[01/01/2024 01:30],0.01,-0.05,,,123.6,,
[01/01/2024 01:45],0.01,-0.10,,,185.0,,
[01/01/2024 02:00],0.00,7.36,,,170.3,,
[01/01/2024 02:15],0.00,2.92,,,115.5,,
[01/01/2024 02:30],0.00,-0.02,,,116.5,,
[01/01/2024 02:45],0.00,-0.04,,,143.2,,
[01/01/2024 03:00],-0.01,5.51,,,180.7,,
[01/01/2024 03:15],-0.01,1.99,,,144.7,,
[01/01/2024 03:30],-0.01,-0.01,,,148.4,,
[01/01/2024 03:45],-0.01,1.91,,,168.2,,
[01/01/2024 04:00],-0.03,1.94,,,157.0,,
[01/01/2024 04:15],-0.03,0.53,,,144.8,,
[01/01/2024 04:30],-0.03,0.54,,,155.7,,
[01/01/2024 04:45],-0.03,1.91,,,152.3,,
[01/01/2024 05:00],-0.02,1.92,,,162.9,,
[01/01/2024 05:15],-0.02,0.04,,,147.3,,
[01/01/2024 05:30],-0.02,0.03,,,139.3,,
[01/01/2024 05:45],-0.02,-0.03,,,148.2,,
[01/01/2024 06:00],-0.05,1.94,,,229.8,,
[01/01/2024 06:15],-0.05,0.09,,,206.9,,
[01/01/2024 06:30],-0.05,1.92,,,196.4,,
[01/01/2024 06:45],-0.05,1.92,,,214.9,,
[01/01/2024 07:00],-0.02,0.18,,,259.1,,
[01/01/2024 07:15],-0.02,1.92,,,179.4,,
[01/01/2024 07:30],-0.02,1.97,,,187.8,,
[01/01/2024 07:45],-0.02,18.66,,,316.0,,
[01/01/2024 08:00],0.00,-0.03,,,256.1,,
[01/01/2024 08:15],0.00,0.02,,,182.6,,
[01/01/2024 08:30],0.00,0.05,,,158.6,,
[01/01/2024 08:45],0.00,0.54,,,277.9,,
[01/01/2024 09:00],0.04,-0.01,,,319.5,,
[01/01/2024 09:15],0.04,1.93,,,204.8,,
[01/01/2024 09:30],0.04,0.01,,,199.0,,
[01/01/2024 09:45],0.04,-0.01,,,314.0,,
[01/01/2024 10:00],0.06,-0.04,,,284.6,,
[01/01/2024 10:15],0.06,-0.01,,,160.3,,
[01/01/2024 10:30],0.06,1.92,,,150.4,,
[01/01/2024 10:45],0.06,0.52,,,242.2,,
[01/01/2024 11:00],0.54,-0.01,,,248.3,,
[01/01/2024 11:15],0.54,2.07,,,161.1,,
[01/01/2024 11:30],0.54,1.95,,,198.3,,
[01/01/2024 11:45],0.54,6.00,,,245.2,,
[01/01/2024 12:00],2.24,1.96,,,208.3,,
[01/01/2024 12:15],2.24,5.31,,,174.0,,
[01/01/2024 12:30],2.24,5.31,,,156.1,,
[01/01/2024 12:45],2.24,1.93,,,223.6,,
[01/01/2024 13:00],1.96,0.00,,,262.4,,
[01/01/2024 13:15],1.96,1.92,,,185.0,,
[01/01/2024 13:30],1.96,1.93,,,193.5,,
